9785768	CONN	64	25	down
9786696	CONN	25	64	down
9787203	CONN	56	85	up
9787278	CONN	38	85	up
9788291	CONN	25	64	up
9788843	CONN	38	85	down
9788843	CONN	38	56	down
9789427	CONN	32	7	up
9789427	CONN	32	7	down
9789545	CONN	64	25	up
9790234	CONN	25	64	down
9791200	CONN	25	12	up
9791200	CONN	25	12	down
9791545	CONN	25	64	up
9792199	CONN	25	64	down
9793469	CONN	25	64	up
9796316	CONN	25	64	down
9796400	CONN	56	38	down
9796400	CONN	56	85	down
9796860	CONN	64	25	down
9798424	CONN	64	25	up
9799454	CONN	25	64	up
9800086	CONN	25	64	down
9800603	CONN	25	64	up
9801265	CONN	64	25	down
9802522	CONN	25	64	down
9802545	CONN	64	25	up
9802545	CONN	64	25	down
9803049	CONN	56	32	up
9803163	CONN	80	22	up
9803163	CONN	80	22	down
9803362	CONN	56	32	down
9805297	CONN	56	85	up
9807087	CONN	93	14	down
9815241	CONN	93	14	up
9815241	CONN	93	14	down
9816314	CONN	80	22	up
9816314	CONN	80	22	down
9817885	CONN	80	22	up
9817885	CONN	80	22	down
9818248	CONN	56	85	down
9821030	CONN	80	22	up
9821030	CONN	80	22	down
9823142	CONN	93	14	up
9823142	CONN	93	14	down
9851388	CONN	93	14	up
9851388	CONN	93	14	down
9856406	CONN	93	14	up
9856406	CONN	93	14	down
9858211	CONN	56	38	up
9858292	CONN	93	14	up
9859855	CONN	93	14	down
9860748	CONN	56	38	down
9864656	CONN	80	22	up
9864656	CONN	80	22	down
9866151	CONN	56	85	up
9869691	CONN	36	38	up
9869691	CONN	36	38	down
9870954	CONN	36	85	up
9870954	CONN	36	85	down
9878537	CONN	56	85	down
9883259	CONN	80	22	up
9883888	CONN	80	22	down
9885923	CONN	93	14	up
9885923	CONN	93	14	down
9915574	CONN	80	22	up
9930767	CONN	80	22	down
9935994	CONN	93	14	up
9935994	CONN	93	14	down
9945393	CONN	64	16	up
9945393	CONN	64	16	down
9948522	CONN	93	14	up
9948522	CONN	93	14	down
9949435	CONN	56	85	up
9949435	CONN	56	85	down
9951114	CONN	80	22	up
9951114	CONN	80	22	down
9955261	CONN	80	22	up
9955261	CONN	80	22	down
9957454	CONN	80	22	up
9957454	CONN	80	22	down
9965419	CONN	56	85	up
9965419	CONN	56	85	down
9968440	CONN	56	85	up
9972535	CONN	56	85	down
9972937	CONN	56	85	up
9974198	CONN	56	85	down
9975010	CONN	56	85	up
9977223	CONN	56	85	down
9977767	CONN	56	85	up
9983761	CONN	56	85	down
9986944	CONN	80	22	up
9988293	CONN	93	14	up
9988293	CONN	93	14	down
9989094	CONN	56	85	up
9989786	CONN	80	22	down
9990042	CONN	93	14	up
9990042	CONN	93	14	down
9990073	CONN	56	85	down
9992011	CONN	80	22	up
9994541	CONN	80	22	down
9997705	CONN	80	22	up
10005351	CONN	80	22	down
10006576	CONN	80	22	up
10030566	CONN	80	22	down
10047256	CONN	93	14	up
10047256	CONN	93	14	down
10049836	CONN	56	85	up
10050792	CONN	56	85	down
10052593	CONN	80	22	up
10053382	CONN	56	85	up
10053700	CONN	56	85	down
10053885	CONN	80	22	down
10055463	CONN	56	85	up
10055463	CONN	56	85	down
10058280	CONN	56	85	up
10075551	CONN	56	85	down
10078372	CONN	56	85	up
10079638	CONN	56	85	down
10092535	CONN	56	85	up
10092535	CONN	56	85	down
10098078	CONN	56	85	up
10098078	CONN	56	85	down
10099153	CONN	56	85	up
10101783	CONN	93	14	up
10101783	CONN	93	14	down
10108907	CONN	56	85	down
10122362	CONN	56	85	up
10122362	CONN	56	85	down
